Node,Community
222261763,0
88097807,1
15150609,2
37270037,1
49104918,2
73738774,2
229425177,0
69592091,0
460282402,1
17116707,0
231238695,0
461410856,2
117901353,1
6581292,1
221036078,0
8088112,0
153460275,0
276706356,1
214328887,0
18951737,0
46831674,2
31246395,1
29911100,0
109740608,1
206923844,0
26929220,0
153226312,0
197504076,1
312284236,1
166214735,1
9695312,2
220368467,1
116036694,0
451250774,0
250340951,0
120599128,2
157829215,0
262802533,0
72818790,0
273149543,0
279787626,1
189875309,1
437804658,0
8163442,2
276308596,0
260769396,1
17868918,0
172883064,1
200559228,0
196327549,0
215787132,2
103598216,0
333161611,1
430313102,0
134940306,0
236184723,0
248883350,0
170460311,0
187773078,1
394263193,0
160237722,0
94621855,1
195475105,1
123371682,0
86221475,0
95260836,2
18996905,0
220068522,1
375228586,1
128721580,1
70492333,1
324201646,1
113058991,1
33612973,2
133055665,1
131613362,0
207594668,2
262340283,1
124528830,0
253091523,2
375317198,0
107830991,0
413275344,1
19493072,0
88323281,1
145845459,0
252770012,0
45333725,2
529007327,1
22462180,1
107511013,0
21548772,0
151338729,0
149538028,0
59588845,1
54228724,2
213777144,1
280935165,0
15023872,0
56860418,0
276577539,0
430268163,0
203338499,1
364971269,1
46209291,0
358775055,0
258140947,1
400689940,0
67864340,0
250178329,0
226629405,1
30971165,1
259842341,0
40981798,1
31414569,2
272173354,2
179138862,1
274153775,0
74107696,0
43640117,1
112939321,1
225444667,0
314316607,0
292598082,0
238201669,1
288485704,1
239144776,1
100581193,0
204140367,0
204317520,0
55033682,2
125120339,1
121533789,0
19358562,0
155661154,1
257236842,1
19933035,0
83943787,0
35359596,2
17675120,1
83417972,1
270449528,0
261447035,0
233248636,1
170167167,2
100318079,2
86799233,2
14925700,0
115221382,1
27077521,1
19705747,0
294752666,1
31331740,1
285312927,0
53222305,1
307458983,1
2367911,2
35415466,0
380580781,0
117674417,1
27633075,1
447688115,0
282206645,0
17759158,0
163238842,1
116498875,1
152388029,1
271602109,2
43003845,1
16870853,2
57490887,0
349413327,1
186212304,2
57828817,2
406628822,0
41472982,2
34428380,1
222411742,0
260705759,2
28465635,1
254839786,0
158419434,1
297801196,0
265077741,0
283306479,1
463952369,0
236026868,0
17434613,1
439788025,1
236143101,1
355823615,1
